freq MHz,x_c,x_c_err,y_c,y_c_err,x_r,x_r_err,y_r,y_r_err,angle,angle_err,A_I,A_Q,alpha_1,alpha_2,gamma
2000,0.027579531034266858,6.6863793299350919e-05,0.008024268459798034,6.9083805121116968e-05,0.12359464820615014,8.0857118667542957e-05,0.13394216815555113,8.4923213684096676e-05,0.46322325664383812,0.0066026099623036783,0.12572870057407962,0.131941029734368,0.49612838020715461,2.002664289631511,-1.5065359094243564
2010,0.028200087921032319,6.3995980388099831e-05,0.0075754831758584051,6.5080800334468803e-05,0.12179827676976444,7.7433957760257092e-05,0.13618706373235367,8.1020429491057309e-05,0.59306075905789335,0.0044589853496725248,0.12646885742008304,0.13186115673306906,0.64581465543623484,2.1132623770420733,-1.4674477216058386
2020,0.027387586025048011,6.0353419137067409e-05,0.0068406093618931796,6.2585685141838362e-05,0.12287820101135401,7.3646649631844892e-05,0.13359156796795918,7.670889177110806e-05,0.47557935810388807,0.0057426719400573475,0.125200011579055,0.13141809775114338,0.51041720737635243,2.0131868193174935,-1.5027696119411411
2030,0.026901715934381037,5.8715175593653532e-05,0.0057852039942802302,6.0630698110445138e-05,0.12049088148769423,7.1676107139246066e-05,0.1335598569719082,7.451498699892283e-05,0.53625599659778311,0.0045562326002801003,0.12403529495840918,0.13027483840181336,0.58254902598145342,2.0629779823534582,-1.4804289563720048
2040,0.025737211172933622,6.1150676962075517e-05,0.0038340215921388587,6.2269547495792785e-05,0.12106612516265479,7.4182408177878937e-05,0.13080554589710466,7.69670349178042e-05,0.51843768983145377,0.0063301295017196028,0.12352872617063618,0.12848249417721905,0.55237911200895351,2.0566017131580385,-1.5042226011490851
2050,0.025545255605701034,6.4538777616417246e-05,0.0042362452225320202,6.6061596357251372e-05,0.12106384153787651,7.8563521531380012e-05,0.1311491020424424,8.0869214917494501e-05,0.49567818758585824,0.0065023773885382946,0.12341750402817428,0.12893665263959131,0.52987383409882827,2.0337431512038671,-1.5038693171050388
2060,0.02513855756635297,6.3869980079085903e-05,0.0046386438000124708,6.5217949695325211e-05,0.12279683244057354,7.7645252510476564e-05,0.13199371921328648,8.0237258765939799e-05,0.4837452435037306,0.0070274442410657332,0.12484370710844743,0.13005942013024047,0.51408105920225633,2.0254226489939082,-1.5113415897916518
2070,0.025020370907575723,6.7255728400441572e-05,0.0049937769991747205,6.929479868580684e-05,0.12360275342304454,8.2091211559163631e-05,0.1308908944412723,8.4285479662369215e-05,0.36238836119944073,0.0094396635578127483,0.12454213416642193,0.1299973988919286,0.38178785838882534,1.9145993751447004,-1.5328115167558751
2080,0.024713853277840897,6.336546252547212e-05,0.0052569729852988689,6.5224837276360193e-05,0.11973007367766698,7.7112690206634511e-05,0.13036148226393818,8.0339075910272837e-05,0.55336983700844611,0.0060440434593196568,0.12275864740290614,0.12751361138607756,0.59210215041498093,2.0868788554510695,-1.4947767050360885
2090,0.024923072511112032,6.1209583887831615e-05,0.0058049291840768513,6.2674884608324123e-05,0.12027201628086182,7.4772473839979808e-05,0.12619604870727483,7.6335531296000596e-05,0.41631342607079591,0.010522379589818753,0.12126058395580668,0.12524644261730364,0.43438300285312753,1.9696152842223067,-1.5352322813691792
2100,0.025216458653113893,5.5933653927709191e-05,0.0062632434634737888,5.7368698950497981e-05,0.11838811546011005,6.8080632667591275e-05,0.1301556558288845,7.0343051985039361e-05,0.5342493384014575,0.0048266772468004851,0.12154864794889664,0.12720914592999424,0.57668952779359928,2.064495021097736,-1.4878054933041367
2110,0.025499540098401663,6.0163082630381351e-05,0.0052735941265979192,6.1508814519800668e-05,0.12209042171775683,7.3272328914413988e-05,0.12949506062213256,7.5158744418966819e-05,0.48306045311687562,0.0082640315516236754,0.12372548750522996,0.12793375450733349,0.50768073652787771,2.0300465144977085,-1.5223657779698307
2120,0.024691224006444357,6.2239061576761537e-05,0.0041464849454953545,6.3966322920452589e-05,0.11949769559057372,7.5451879367426634e-05,0.13016422791148965,7.8721775295851465e-05,0.53441580764744323,0.0059302448875246799,0.12235422596290182,0.12748281793351918,0.57263669661688643,2.0685295638386587,-1.4958928672217722
2130,0.02406701098512426,5.7630977415161654e-05,0.0023612580375023673,5.8573068172762597e-05,0.11984331025440227,7.0365394147928943e-05,0.12522000045515139,7.1229051292126395e-05,0.44782914544659747,0.010890213020549155,0.12086964548568899,0.12422961131262104,0.46519234062214204,2.0017319345776938,-1.5365395939555517
2140,0.023527583817286979,5.5300277400403018e-05,0.0034720042315382893,5.6486397752761189e-05,0.11959811130107903,6.7326720190334261e-05,0.12513026404588226,6.8482964771846843e-05,0.31215996452691575,0.010226813832879315,0.12013078342028823,0.12461896357218392,0.32561985065563553,1.8699811937493831,-1.5443613430937475
